Story ID,Role,Goal,Benefit,Acceptance Criteria,Feedback
VISIT_VIEW_CLIENT_INFO_001,As a DSP,"I want to view essential, non-PHI information about a client before starting a visit",So I can be prepared and ensure I have the correct person.," - From the client selection screen, I can tap to see a detail view. - This view can include a photo (if available), emergency contact information (non-PHI, e.g., 'Call Supervisor Jane Doe'), and critical alerts (e.g., 'Allergy: Peanuts').",
DC_DASHBOARD_001,As a Designated Coordinator (DC),I want to see a dashboard of all timecards pending approval for my assigned DSPs,So that I can efficiently manage my review workload and ensure timely payroll and billing.," - The dashboard is the default view upon login. - It includes KPI cards for 'Pending', 'Rejected', and 'Recently Approved' counts. - The main component is a list of visits pending approval that shows Client, DSP, Date, Total Hours, and icons indicating validation errors.",
DC_CORRECT_MISSED_CLOCKOUT_001,As a Designated Coordinator (DC),I want to be able to correct a missed clock-out for a DSP,So that the visit record is accurate and can be approved.," - On a timecard with a missing clock-out, I can manually enter the end time. - The system requires a mandatory justification note. - The system recalculates duration and re-runs all validations from validation_rules.md (e.g., Date Range, Unit Limits). - The audit log tracks the manual correction.",
DC_MANAGE_ASSIGNMENTS_001,As a Designated Coordinator (DC),I want to manage the assignments of DSPs to clients,So that DSPs can only select from the list of individuals they are authorized to serve.," - The system must enforce all checks in data_integrity_rules.md under 'DSP Assignment'. - Must FAIL if two assignments for the same DSP/Agreement overlap in time. - Must PASS if multiple DSPs are assigned to the same patient in non-overlapping time windows.",
DC_REVIEW_CLIENT_HISTORY_001,As a Designated Coordinator (DC),I want to view a historical log of all visits for a specific client,"So that I can monitor service delivery, identify patterns, and answer questions during an audit."," - A client's profile has a 'Visit History' tab. - The history is searchable and filterable by date range and DSP. - I can see the status of each past visit (e.g., Approved, Billed, Rejected). - I can click into a visit to see all its details, including notes and any corrections made.",
DC_MANAGE_ALERTS_001,As a Designated Coordinator (DC),I want to receive and manage real-time alerts for critical issues,So that I can proactively address problems like a missed clock-out or potential over-service.," - The dashboard displays an 'Alerts' panel. - Alerts are generated for events like: a visit exceeding its scheduled time by X hours, or a client approaching their weekly unit cap. - I can acknowledge an alert, which removes it from the active queue and logs the action.",
BILLING_CREATE_BATCH_001,As a Billing Manager,I want to create a new claim batch from all approved timecards in a date range,So I can organize my work and prepare for a submission cycle.," - Can specify a date range. - The system gathers all 'Approved' visits that have not yet been successfully billed. - The system displays a summary of the batch (e.g., X visits, Y total units, Z total amount).",
BILLING_PRE_CLAIM_VALIDATION_001,As a Billing Manager,I want to run a pre-submission validation check on my claim batch,So that I can identify and fix data errors before submitting the claim and reduce the denial rate.," - The 'Validate' button checks the batch against all rules in validation_rules.md. - The validation must correctly FAIL for: visit before plan_start, visit on plan_end, service_code not in agreement, units exceeding limit, DSP mismatch, or unsigned agreement. - The validation must correctly PASS for: visit exactly on plan_start, cumulative units exactly equaling the limit.",
BILLING_GENERATE_EXPORT_001,As a Billing Manager,I want to generate the final claim file in the correct format,So I can submit it to the payer or clearinghouse.," - After validation, a 'Generate' button creates the export file (e.g., CSV or EDI 837P). - The system records the batch ID, generation time, and a checksum of the file. - The status of the visits in the batch is updated from 'Approved' to 'Submitted'.",
BILLING_RECONCILE_ERA_835_001,As a Billing Manager,I want to upload an Electronic Remittance Advice (ERA/835) file,So that the system can automatically reconcile which claims were paid or denied., - User can upload an 835 file. - The system parses the file and matches payments/denials back to the submitted claims in the batch. - The status of claims is updated to 'Paid' or 'Denied'. - Payment information is recorded.,
BILLING_WORK_DENIALS_001,As a Billing Manager,I want a dedicated queue to manage all denied claims,So that I can efficiently work through rejections and resubmit them for payment.," - A 'Denied Claims' dashboard shows all claims with a 'Denied' status. - The list includes the client, date of service, and the CARC denial reason. - I can re-assign a denied visit back to a Supervisor's queue for correction, with a note explaining the required fix.",
BILLING_DASHBOARD_001,As a Billing Manager,I want to see a high-level dashboard of the claims lifecycle,So that I can monitor the financial health of the agency.," - Dashboard shows the total value of claims in each status: Approved, Submitted, Paid, Denied. - Includes a chart of the top 5 denial reasons by volume. - Shows the average number of days between service delivery and payment.",
ADMIN_MANAGE_EXPORT_PERMS_001,As a System Admin,"I want to assign export permissions (e.g., basic vs. PHI) to user roles",So that access to Protected Health Information is strictly controlled per our data governance policy., - An admin screen allows mapping of user roles to specific export profiles. - Attempting to run an export for which a user is not authorized is blocked and logged.,
DC_TRACK_DSP_TRAINING_001,As a Designated Coordinator,I want to record and track the training status for each DSP,So that I can ensure our agency remains compliant with 245D staffing requirements.," - A DSP's profile includes fields for tracking key training dates (e.g., Orientation, Annual Refresher). - The system can generate a report showing all DSPs whose training is due to expire within a specified period (e.g., next 30 days).",
ADMIN_EDIT_SERVICE_AGREEMENT_001,As an Administrator,I want to edit a finalized service agreement to correct data entry errors,So that client authorizations are accurate without requiring a full re-import or replacement.," - An authorized admin can open an existing service agreement and edit fields like units or dates. - Every edit requires a mandatory justification note. - An audit log records the before/after values, who made the change, and when.",
DC_RESOLVE_OVERLAPS_001,As a Designated Coordinator,I want to see a clear visualization of overlapping visit segments for a DSP,So that I can easily identify the conflict and correct the start/end times.," - A dedicated screen or report shows DSPs with VISIT_CONFLICT_OVERLAP errors. - The UI displays conflicting segments visually (e.g., on a timeline). - After the DC corrects the times, the system re-validates to confirm the overlap is resolved before saving.",
FUTURE_INTEGRATION_HHAEX_001,As a Billing Manager,I want the system to automatically submit verified visit data to HHAeXchange via API,So that we can meet the requirements of payers who use that aggregator.,(Post-MVP) - The system can format EVV data into the JSON structure required by the HHAeXchange API. - Successful and failed submissions are logged. - A dashboard allows monitoring the status of API submissions.,
FUTURE_INGEST_PDF_SA_001,As a Service Coordinator,I want to upload a PDF service agreement from a payer,"So the system can use OCR to automatically extract authorization data, reducing manual entry.","(Post-MVP) - User can upload a PDF. - The system uses an OCR service to parse the document and suggests field values (Client, Service, Units, Dates). - The user reviews and confirms the extracted data before creating the final Service Agreement.",""
"DSP_DASHBOARD_001","As a DSP","I want a simple home screen dashboard","So I can see my current visit status, start new visits, and see important notifications."," - Shows a prominent banner with a running timer if a visit is active. - Displays a large 'Start Visit' button. - Shows a notification area for rejected timecards. - Lists recent completed visits."
